card_id,raw_issuer,card_name,source_url
96,씨티카드,씨티 리워드,https://www.card-gorilla.com/card/detail/96
100,씨티카드,씨티 NEW 캐시백,https://www.card-gorilla.com/card/detail/100
101,씨티카드,NEW 씨티 클리어,https://www.card-gorilla.com/card/detail/101
102,씨티카드,씨티 NEW 프리미어마일 대한항공,https://www.card-gorilla.com/card/detail/102
103,씨티카드,씨티 NEW 프리미어마일 아시아나,https://www.card-gorilla.com/card/detail/103
158,스카이패스카드,스카이패스카드,https://www.card-gorilla.com/card/detail/158
161,NC다이노스카드,NC다이노스카드,https://www.card-gorilla.com/card/detail/161
172,NH올원카드,NH올원카드,https://www.card-gorilla.com/card/detail/172
173,NH농협카드,NH올원+(플러스)카드,https://www.card-gorilla.com/card/detail/173
177,NH농협카드,NH올원 All100(올백)카드,https://www.card-gorilla.com/card/detail/177
179,번가카드,NH올원 Shopping&11번가카드(R2타입),https://www.card-gorilla.com/card/detail/179
180,위카드,위카드,https://www.card-gorilla.com/card/detail/180
181,파이카드,NH올원 파이카드,https://www.card-gorilla.com/card/detail/181
182,NH농협카드,SolSol++(쏠쏠투플러스)카드,https://www.card-gorilla.com/card/detail/182
183,NH농협카드,SolSol(쏠쏠)카드,https://www.card-gorilla.com/card/detail/183
184,해봄카드,NH20해봄카드,https://www.card-gorilla.com/card/detail/184
188,올바른OIL카드,올바른OIL카드,https://www.card-gorilla.com/card/detail/188
189,올바른TRAVEL카드,올바른TRAVEL카드(일본특화),https://www.card-gorilla.com/card/detail/189
190,올바른TRAVEL카드,올바른TRAVEL카드(중국특화),https://www.card-gorilla.com/card/detail/190
258,Life카드,Oil & Life카드(Oil카드),https://www.card-gorilla.com/card/detail/258
259,Life카드,Oil & Life카드(Life카드),https://www.card-gorilla.com/card/detail/259
260,국민행복카드,국민행복카드(신용),https://www.card-gorilla.com/card/detail/260
263,UNKNOWN,참! 좋은 kt wiz 카드(신용),https://www.card-gorilla.com/card/detail/263
264,IBK카드,olleh Super DC IBK카드,https://www.card-gorilla.com/card/detail/264
266,기쁨카드,일상의 기쁨카드(신용),https://www.card-gorilla.com/card/detail/266
267,마일앤조이카드,마일앤조이카드(대한항공),https://www.card-gorilla.com/card/detail/267
268,마일앤조이카드,마일앤조이카드(아시아나),https://www.card-gorilla.com/card/detail/268
269,UNKNOWN,IBK-Hybrid(하이브리드)카드,https://www.card-gorilla.com/card/detail/269
271,설렘카드,일년의 설렘카드,https://www.card-gorilla.com/card/detail/271
273,다이소카드,참! 좋은 다이소카드(신용),https://www.card-gorilla.com/card/detail/273
274,할인카드,쇼핑앤조이 카드,https://www.card-gorilla.com/card/detail/274
275,UNKNOWN,제주항공 Refresh Point 카드,https://www.card-gorilla.com/card/detail/275
276,플러스마일카드,플러스마일카드,https://www.card-gorilla.com/card/detail/276
277,시그마카드,시그마카드,https://www.card-gorilla.com/card/detail/277
360,올바른POINT체크카드,올바른POINT체크카드,https://www.card-gorilla.com/card/detail/360
361,콕체크카드,콕체크카드,https://www.card-gorilla.com/card/detail/361
362,해봄체크카드,NH20해봄체크카드,https://www.card-gorilla.com/card/detail/362
365,DC줌체크카드,DC줌체크카드(비씨),https://www.card-gorilla.com/card/detail/365
367,내일배움체크카드,내일배움체크카드,https://www.card-gorilla.com/card/detail/367
368,NH올원체크카드,NH올원체크카드,https://www.card-gorilla.com/card/detail/368
370,체크카드,BAZIC(베이직)체크카드,https://www.card-gorilla.com/card/detail/370
375,올바른GLOBAL체크카드,올바른GLOBAL체크카드,https://www.card-gorilla.com/card/detail/375
405,에이스플러스체크카드,에이스플러스체크카드(미키90주년),https://www.card-gorilla.com/card/detail/405
435,체크카드,카카오뱅크 프렌즈 체크카드,https://www.card-gorilla.com/card/detail/435
436,체크카드,케이뱅크 X KT멤버십더블혜택 체크카드,https://www.card-gorilla.com/card/detail/436
437,체크카드,케이뱅크X네이버페이 체크카드2,https://www.card-gorilla.com/card/detail/437
438,체크카드,케이뱅크 체크카드 포인트적립형,https://www.card-gorilla.com/card/detail/438
441,기쁨카드,일상의 기쁨카드(체크),https://www.card-gorilla.com/card/detail/441
442,체크카드,IBK 국민행복 체크카드,https://www.card-gorilla.com/card/detail/442
446,나라사랑카드,IBK 나라사랑카드,https://www.card-gorilla.com/card/detail/446
463,씨티카드,신세계 씨티 클리어 카드,https://www.card-gorilla.com/card/detail/463
475,UNKNOWN,ONE AIR(UniMile),https://www.card-gorilla.com/card/detail/475
483,뉴타임카드,뉴타임카드,https://www.card-gorilla.com/card/detail/483
497,NEW농촌사랑체크카드,NEW농촌사랑체크카드,https://www.card-gorilla.com/card/detail/497
499,체크카드,체크카드,https://www.card-gorilla.com/card/detail/499
503,씨티카드,씨티 메가마일 스카이패스,https://www.card-gorilla.com/card/detail/503
504,씨티카드,씨티 메가마일 아시아나,https://www.card-gorilla.com/card/detail/504
505,적립조아카드,적립조아카드,https://www.card-gorilla.com/card/detail/505
506,할인조아카드,할인조아카드,https://www.card-gorilla.com/card/detail/506
512,NH농협카드,올바른 POINT UP 카드,https://www.card-gorilla.com/card/detail/512
513,NH농협카드,올바른 POINT UP+ 카드,https://www.card-gorilla.com/card/detail/513
514,NH농협카드,올바른 BAZIC 카드,https://www.card-gorilla.com/card/detail/514
526,올바른LIFE카드,NH농협 올바른LIFE카드(할인형),https://www.card-gorilla.com/card/detail/526
